source_index,feature_id,height_m,center_x_m,center_y_m,min_x_m,min_y_m,max_x_m,max_y_m,highlighted
226,255616,10.91,1366.90425078,-8771.15992449,1360.64756002,-8785.59118177,1373.16094154,-8756.72866721,false
227,255607,10.93,975.40082936,-8763.68731107,963.3221283,-8769.48009736,987.47953042,-8757.89452479,false
228,255581,10.38,1015.43917329,-8723.96860973,1011.84484009,-8730.32644366,1019.03350649,-8717.61077581,false
229,255547,12.01,1368.34020251,-8671.67877819,1362.74233693,-8679.5443576,1373.93806808,-8663.81319878,false
230,255544,18.38,1102.36069677,-8680.41298112,1091.45916384,-8694.00064018,1113.26222969,-8666.82532207,false
231,255541,11.47,1047.64454087,-8673.7211722,1037.87235978,-8681.25646759,1057.41672195,-8666.18587681,false
232,255484,12,1054.4671939,-8579.76722428,1049.70006315,-8589.47461332,1059.23432465,-8570.05983524,false
233,255384,11.3,1152.79812223,-8450.87235926,1147.38619865,-8457.73559821,1158.2100458,-8444.00912031,false
234,255377,11.63,1064.5050379,-8445.27997348,1061.39224387,-8454.70638029,1067.61783193,-8435.85356667,false
235,307462,23.37,1164.1148735,-8411.66562678,1144.77927117,-8429.58444844,1183.45047582,-8393.74680513,false
236,255309,12.23,905.20841012,-8353.94360126,897.84808767,-8357.07024517,912.56873257,-8350.81695735,false
237,255293,10.53,1135.67475632,-8335.25564439,1131.40210787,-8339.00559524,1139.94740478,-8331.50569354,false
238,255232,15.08,883.30964463,-8284.51129637,877.7241085,-8292.68579815,888.89518076,-8276.33679459,false
239,229851,12.33,1136.30605545,-9005.17816186,1131.49469154,-9012.48776331,1141.11741936,-8997.86856041,false
240,229848,8.43,1513.55555409,-8988.34886768,1505.91135443,-8992.41246793,1521.19975374,-8984.28526742,false
241,229715,9.26,1625.90018343,-8797.52235728,1621.75099953,-8801.57071696,1630.04936732,-8793.4739976,false
242,229492,11.32,1229.95761073,-8537.83510121,1225.43905846,-8545.96284252,1234.476163,-8529.70735989,false
